Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-03-03,5,5,0,0
2020-03-04,0,5,0,0
2020-03-05,0,5,0,0
2020-03-06,1,6,0,0
2020-03-07,7,13,1,1
2020-03-08,3,16,0,1
2020-03-09,0,16,0,1
2020-03-10,0,16,0,1
2020-03-11,5,21,0,1
2020-03-12,2,23,0,1
2020-03-13,12,35,0,1
2020-03-14,14,49,1,2
2020-03-15,0,49,0,2
2020-03-16,11,60,0,2
2020-03-17,9,69,0,2
2020-03-18,32,101,0,2
2020-03-19,0,101,0,2
2020-03-20,27,128,1,3
2020-03-21,30,158,0,3
2020-03-22,0,158,0,3
2020-03-23,67,225,1,4
2020-03-24,76,301,0,4
2020-03-25,0,301,0,4
2020-03-26,201,502,4,8
2020-03-27,0,502,0,8
2020-03-28,87,589,4,12
2020-03-29,101,690,5,17
2020-03-30,55,745,2,19
2020-03-31,75,820,1,20
2020-04-01,146,966,4,24
2020-04-02,88,1054,3,27
2020-04-03,79,1133,4,31
2020-04-04,132,1265,6,37
2020-04-05,88,1353,5,42
2020-04-06,98,1451,2,44
2020-04-07,103,1554,2,46
2020-04-08,74,1628,7,53
2020-04-09,87,1715,7,60
2020-04-10,80,1795,7,67
2020-04-11,134,1929,12,79
2020-04-12,46,1975,3,82
2020-04-13,0,1975,0,82
2020-04-14,277,2252,13,95
2020-04-15,84,2336,6,101
2020-04-16,141,2477,7,108
2020-04-17,121,2598,7,115
2020-04-18,96,2694,7,122
2020-04-19,90,2784,7,129
2020-04-20,55,2839,3,132
2020-04-21,121,2960,4,136
2020-04-22,113,3073,9,145
2020-04-23,124,3197,7,152
2020-04-24,143,3340,7,159
2020-04-25,139,3479,8,167
2020-04-26,222,3701,12,179
2020-04-27,137,3838,0,179
2020-04-28,54,3892,13,192
2020-04-29,127,4019,5,197
2020-04-30,182,4201,10,207
2020-05-01,103,4304,8,215
2020-05-02,172,4476,5,220
2020-05-03,56,4532,9,229
2020-05-04,149,4681,12,241
2020-05-05,118,4799,9,250
2020-05-06,123,4922,12,262
2020-05-07,154,5076,2,264
2020-05-08,229,5305,11,275
2020-05-09,225,5530,14,289
2020-05-10,150,5680,8,297
2020-05-11,244,5924,3,300
2020-05-12,110,6034,5,305
2020-05-13,244,6278,12,317
2020-05-14,285,6563,4,321
2020-05-15,410,6973,24,345
2020-05-16,161,7134,8,353
2020-05-17,345,7479,10,363
2020-05-18,326,7805,3,366
2020-05-19,263,8068,7,373
2020-05-20,303,8371,9,382
2020-05-21,438,8809,11,393
2020-05-22,474,9283,10,403
2020-05-23,648,9931,16,419
2020-05-24,718,10649,20,439
2020-05-25,704,11353,6,445
2020-05-26,723,12076,7,452
2020-05-27,552,12628,19,471
2020-05-28,600,13228,21,492
2020-05-29,705,13933,9,501
2020-05-30,769,14702,9,510
2020-05-31,0,14702,0,510
2020-06-01,1512,16214,20,530
2020-06-02,637,16851,11,541
2020-06-03,564,17415,19,560
2020-06-04,904,18319,10,570
2020-06-05,949,19268,18,588
2020-06-06,929,20197,27,615
2020-06-07,840,21037,27,642
2020-06-08,983,22020,14,656
2020-06-09,774,22794,14,670
2020-06-10,826,23620,28,698
2020-06-11,1141,24761,19,717
2020-06-12,1226,25987,24,741
2020-06-13,1386,27373,31,772
2020-06-14,1391,28764,30,802
2020-06-15,1531,30295,17,819
2020-06-16,1282,31577,23,842
2020-06-17,1208,32785,20,862
2020-06-18,1374,34159,24,886
2020-06-19,1393,35552,43,929
2020-06-20,1958,37510,25,954
2020-06-21,2060,39570,25,979
2020-06-22,1634,41204,13,992
2020-06-23,1581,42785,24,1016
2020-06-24,2146,44931,33,1049
2020-06-25,2285,47216,36,1085
2020-06-26,2635,49851,39,1124
2020-06-27,2606,52457,43,1167
2020-06-28,2886,55343,25,1192
2020-06-29,2401,57744,25,1217
2020-06-30,2189,59933,28,1245
2020-07-01,2335,62268,38,1283
2020-07-02,2262,64530,27,1310
2020-07-03,2667,67197,53,1363
2020-07-04,2744,69941,40,1403
2020-07-05,2845,72786,50,1453
2020-07-06,2590,75376,37,1490
2020-07-07,2439,77815,33,1523
2020-07-08,2632,80447,79,1602
2020-07-09,2979,83426,52,1654
2020-07-10,3604,87030,53,1707
2020-07-11,3663,90693,42,1749
2020-07-12,3367,94060,38,1787
2020-07-13,3449,97509,31,1818
2020-07-14,2657,100166,41,1859
2020-07-15,3099,103265,67,1926
2020-07-16,3645,106910,61,1987
2020-07-17,4250,111160,85,2072
2020-07-18,3623,114783,61,2133
2020-07-19,4518,119301,71,2204
2020-07-20,3223,122524,42,2246
2020-07-21,4231,126755,35,2281
2020-07-22,4019,130774,145,2426
2020-07-23,5344,136118,80,2506
2020-07-24,5782,141900,111,2617
2020-07-25,6127,148027,105,2722
2020-07-26,5493,153520,125,2847
2020-07-27,4801,158321,66,2913
2020-07-28,4205,162526,43,2956
2020-07-29,4890,167416,126,3082
2020-07-30,5939,173355,118,3200
2020-07-31,5641,178996,111,3311
2020-08-01,6377,185373,155,3466
2020-08-02,5929,191302,77,3543
2020-08-03,5241,196543,69,3612
2020-08-04,5376,201919,55,3667
