Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-01-25,7,7,0,0
2020-01-26,1,8,0,0
2020-01-27,1,9,0,0
2020-01-28,0,9,0,0
2020-01-29,2,11,0,0
2020-01-30,2,13,0,0
2020-01-31,0,13,0,0
2020-02-01,3,16,0,0
2020-02-02,0,16,0,0
2020-02-03,0,16,0,0
2020-02-04,1,17,0,0
2020-02-05,1,18,0,0
2020-02-06,1,19,0,0
2020-02-07,0,19,0,0
2020-02-08,0,19,0,0
2020-02-09,0,19,0,0
2020-02-10,0,19,0,0
2020-02-11,0,19,0,0
2020-02-12,0,19,0,0
2020-02-13,0,19,0,0
2020-02-14,0,19,0,0
2020-02-15,0,19,0,0
2020-02-16,0,19,0,0
2020-02-17,0,19,0,0
2020-02-18,0,19,0,0
2020-02-19,0,19,0,0
2020-02-20,0,19,0,0
2020-02-21,2,21,0,0
2020-02-22,4,25,0,0
2020-02-23,1,26,0,0
2020-02-24,0,26,0,0
2020-02-25,1,27,0,0
2020-02-26,0,27,0,0
2020-02-27,0,27,0,0
2020-02-28,0,27,0,0
2020-02-29,2,29,0,0
2020-03-01,2,31,1,1
2020-03-02,6,37,0,1
2020-03-03,0,37,0,1
2020-03-04,0,37,0,1
2020-03-05,24,61,1,2
2020-03-06,5,66,0,2
2020-03-07,8,74,0,2
2020-03-08,7,81,1,3
2020-03-09,15,96,0,3
2020-03-10,0,96,0,3
2020-03-11,30,126,0,3
2020-03-12,18,144,0,3
2020-03-13,49,193,0,3
2020-03-14,8,201,0,3
2020-03-15,101,302,2,5
2020-03-16,38,340,0,5
2020-03-17,78,418,0,5
2020-03-18,96,514,1,6
2020-03-19,195,709,0,6
2020-03-20,164,873,1,7
2020-03-21,208,1081,0,7
2020-03-22,17,1098,0,7
2020-03-23,611,1709,0,7
2020-03-24,427,2136,1,8
2020-03-25,287,2423,0,8
2020-03-26,376,2799,3,11
2020-03-27,186,2985,2,13
2020-03-28,650,3635,1,14
2020-03-29,331,3966,2,16
2020-03-30,279,4245,2,18
2020-03-31,312,4557,1,19
2020-04-01,303,4860,1,20
2020-04-02,116,4976,1,21
2020-04-03,374,5350,5,26
2020-04-04,104,5454,2,28
2020-04-05,181,5635,6,34
2020-04-06,160,5795,5,39
2020-04-07,49,5844,3,42
2020-04-08,112,5956,3,45
2020-04-09,96,6052,5,50
2020-04-10,100,6152,2,52
2020-04-11,137,6289,4,56
2020-04-12,24,6313,3,59
2020-04-13,9,6322,2,61
2020-04-14,44,6366,0,61
2020-04-15,50,6416,0,61
2020-04-16,42,6458,2,63
2020-04-17,10,6468,0,63
2020-04-18,65,6533,4,67
2020-04-19,73,6606,3,70
2020-04-20,6,6612,0,70
2020-04-21,13,6625,1,71
2020-04-22,22,6647,3,74
2020-04-23,14,6661,1,75
2020-04-24,6,6667,1,76
2020-04-25,20,6687,3,79
2020-04-26,16,6703,2,81
2020-04-27,10,6713,2,83
2020-04-28,12,6725,1,84
2020-04-29,13,6738,4,88
2020-04-30,8,6746,2,90
2020-05-01,16,6762,2,92
2020-05-02,5,6767,1,93
2020-05-03,16,6783,0,93
2020-05-04,18,6801,2,95
2020-05-05,24,6825,0,95
2020-05-06,24,6849,1,96
2020-05-07,26,6875,1,97
2020-05-08,21,6896,0,97
2020-05-09,18,6914,0,97
2020-05-10,15,6929,0,97
2020-05-11,12,6941,0,97
2020-05-12,7,6948,0,97
2020-05-13,16,6964,0,97
2020-05-14,11,6975,1,98
2020-05-15,14,6989,0,98
2020-05-16,30,7019,0,98
2020-05-17,17,7036,0,98
2020-05-18,9,7045,0,98
2020-05-19,15,7060,1,99
2020-05-20,8,7068,0,99
2020-05-21,11,7079,1,100
2020-05-22,2,7081,0,100
2020-05-23,14,7095,1,101
2020-05-24,11,7106,1,102
2020-05-25,3,7109,0,102
2020-05-26,9,7118,0,102
2020-05-27,15,7133,0,102
2020-05-28,6,7139,1,103
2020-05-29,11,7150,0,103
2020-05-30,23,7173,0,103
2020-05-31,12,7185,0,103
2020-06-01,10,7195,0,103
2020-06-02,9,7204,0,103
2020-06-03,17,7221,0,103
2020-06-04,8,7229,-1,102
2020-06-05,11,7240,0,102
2020-06-06,11,7251,0,102
2020-06-07,4,7255,0,102
2020-06-08,5,7260,0,102
2020-06-09,5,7265,0,102
2020-06-10,2,7267,0,102
2020-06-11,0,7267,0,102
2020-06-12,18,7285,0,102
2020-06-13,5,7290,0,102
2020-06-14,12,7302,0,102
2020-06-15,18,7320,0,102
2020-06-16,15,7335,0,102
2020-06-17,12,7347,0,102
2020-06-18,23,7370,0,102
2020-06-19,21,7391,0,102
2020-06-20,18,7409,0,102
2020-06-21,27,7436,0,102
2020-06-22,25,7461,0,102
2020-06-23,13,7474,0,102
2020-06-24,18,7492,0,102
2020-06-25,29,7521,1,103
2020-06-26,37,7558,1,104
2020-06-27,37,7595,0,104
2020-06-28,46,7641,0,104
2020-06-29,45,7686,0,104
2020-06-30,81,7767,0,104
2020-07-01,67,7834,0,104
2020-07-02,86,7920,0,104
2020-07-03,81,8001,0,104
2020-07-04,254,8255,0,104
2020-07-05,107,8362,0,104
2020-07-06,87,8449,0,104
2020-07-07,137,8586,2,106
2020-07-08,169,8755,0,106
2020-07-09,131,8886,0,106
2020-07-10,173,9059,0,106
2020-07-11,300,9359,0,106
2020-07-12,194,9553,1,107
2020-07-13,244,9797,1,108
2020-07-14,183,9980,0,108
2020-07-15,271,10251,0,108
2020-07-16,244,10495,3,111
2020-07-17,315,10810,2,113
2020-07-18,425,11235,3,116
2020-07-19,206,11441,2,118
2020-07-20,361,11802,4,122
2020-07-21,267,12069,1,123
2020-07-22,359,12428,3,126
2020-07-23,468,12896,2,128
2020-07-24,410,13306,5,133
2020-07-25,289,13595,6,139
2020-07-26,355,13950,6,145
2020-07-27,453,14403,10,155
2020-07-28,532,14935,6,161
2020-07-29,369,15304,6,167
2020-07-30,278,15582,9,176
2020-07-31,721,16303,13,189
2020-08-01,602,16905,7,196
2020-08-02,377,17282,4,200
2020-08-03,641,17923,8,208
2020-08-04,395,18318,13,221
