Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-01-28,1,1,0,0
2020-01-29,3,4,0,0
2020-01-30,0,4,0,0
2020-01-31,1,5,0,0
2020-02-01,2,7,0,0
2020-02-02,1,8,0,0
2020-02-03,1,9,0,0
2020-02-04,2,11,0,0
2020-02-05,0,11,0,0
2020-02-06,0,11,0,0
2020-02-07,1,12,0,0
2020-02-08,1,13,0,0
2020-02-09,0,13,0,0
2020-02-10,0,13,0,0
2020-02-11,0,13,0,0
2020-02-12,2,15,0,0
2020-02-13,0,15,0,0
2020-02-14,0,15,0,0
2020-02-15,0,15,0,0
2020-02-16,0,15,0,0
2020-02-17,0,15,0,0
2020-02-18,0,15,0,0
2020-02-19,0,15,0,0
2020-02-20,0,15,0,0
2020-02-21,0,15,0,0
2020-02-22,0,15,0,0
2020-02-23,0,15,0,0
2020-02-24,0,15,0,0
2020-02-25,0,15,0,0
2020-02-26,2,17,0,0
2020-02-27,4,21,0,0
2020-02-28,26,47,0,0
2020-02-29,10,57,0,0
2020-03-01,54,111,0,0
2020-03-02,18,129,0,0
2020-03-03,28,157,0,0
2020-03-04,39,196,0,0
2020-03-05,66,262,0,0
2020-03-06,138,400,0,0
2020-03-07,284,684,0,0
2020-03-08,163,847,0,0
2020-03-09,55,902,0,0
2020-03-10,237,1139,2,2
2020-03-11,157,1296,0,2
2020-03-12,271,1567,1,3
2020-03-13,802,2369,2,5
2020-03-14,693,3062,0,5
2020-03-15,733,3795,3,8
2020-03-16,1043,4838,4,12
2020-03-17,1174,6012,1,13
2020-03-18,1144,7156,0,13
2020-03-19,1042,8198,0,13
2020-03-20,5940,14138,30,43
2020-03-21,4049,18187,2,45
2020-03-22,3276,21463,22,67
2020-03-23,3311,24774,27,94
2020-03-24,4438,29212,32,126
2020-03-25,2342,31554,23,149
2020-03-26,4954,36508,49,198
2020-03-27,5780,42288,55,253
2020-03-28,6294,48582,72,325
2020-03-29,3965,52547,64,389
2020-03-30,4751,57298,66,455
2020-03-31,4615,61913,128,583
2020-04-01,5453,67366,149,732
2020-04-02,6156,73522,140,872
2020-04-03,6174,79696,145,1017
2020-04-04,6082,85778,141,1158
2020-04-05,5936,91714,184,1342
2020-04-06,3677,95391,92,1434
2020-04-07,3834,99225,173,1607
2020-04-08,4003,103228,254,1861
2020-04-09,4974,108202,246,2107
2020-04-10,5323,113525,266,2373
2020-04-11,4133,117658,171,2544
2020-04-12,2821,120479,129,2673
2020-04-13,2537,123016,126,2799
2020-04-14,2082,125098,170,2969
2020-04-15,2486,127584,285,3254
2020-04-16,2866,130450,315,3569
2020-04-17,3380,133830,299,3868
2020-04-18,3609,137439,242,4110
2020-04-19,2458,139897,184,4294
2020-04-20,1775,141672,110,4404
2020-04-21,1785,143457,194,4598
2020-04-22,2237,145694,281,4879
2020-04-23,2352,148046,215,5094
2020-04-24,2337,150383,227,5321
2020-04-25,2055,152438,179,5500
2020-04-26,1737,154175,140,5640
2020-04-27,1018,155193,110,5750
2020-04-28,1144,156337,163,5913
2020-04-29,1304,157641,202,6115
2020-04-30,1478,159119,173,6288
2020-05-01,1639,160758,193,6481
2020-05-02,945,161703,94,6575
2020-05-03,793,162496,74,6649
2020-05-04,679,163175,43,6692
2020-05-05,685,163860,139,6831
2020-05-06,1037,164897,165,6996
2020-05-07,1194,166091,123,7119
2020-05-08,1209,167300,147,7266
2020-05-09,1251,168551,103,7369
2020-05-10,667,169218,26,7395
2020-05-11,357,169575,22,7417
2020-05-12,933,170508,116,7533
2020-05-13,798,171306,101,7634
2020-05-14,933,172239,89,7723
2020-05-15,913,173152,101,7824
2020-05-16,620,173772,57,7881
2020-05-17,583,174355,33,7914
2020-05-18,342,174697,21,7935
2020-05-19,513,175210,72,8007
2020-05-20,797,176007,83,8090
2020-05-21,745,176752,57,8147
2020-05-22,460,177212,27,8174
2020-05-23,638,177850,42,8216
2020-05-24,431,178281,31,8247
2020-05-25,289,178570,10,8257
2020-05-26,432,179002,45,8302
2020-05-27,362,179364,47,8349
2020-05-28,353,179717,62,8411
2020-05-29,741,180458,39,8450
2020-05-30,738,181196,39,8489
2020-05-31,286,181482,11,8500
2020-06-01,333,181815,11,8511
2020-06-02,213,182028,11,8522
2020-06-03,342,182370,29,8551
2020-06-04,394,182764,30,8581
2020-06-05,507,183271,32,8613
2020-06-06,407,183678,33,8646
2020-06-07,301,183979,22,8668
2020-06-08,214,184193,6,8674
2020-06-09,350,184543,37,8711
2020-06-10,318,184861,18,8729
2020-06-11,555,185416,26,8755
2020-06-12,258,185674,8,8763
2020-06-13,348,186022,18,8781
2020-06-14,247,186269,6,8787
2020-06-15,192,186461,4,8791
2020-06-16,378,186839,9,8800
2020-06-17,345,187184,30,8830
2020-06-18,580,187764,26,8856
2020-06-19,770,188534,16,8872
2020-06-20,601,189135,10,8882
2020-06-21,687,189822,0,8882
2020-06-22,537,190359,3,8885
2020-06-23,503,190862,10,8895
2020-06-24,587,191449,19,8914
2020-06-25,630,192079,13,8927
2020-06-26,477,192556,21,8948
2020-06-27,687,193243,6,8954
2020-06-28,256,193499,3,8957
2020-06-29,262,193761,4,8961
2020-06-30,498,194259,12,8973
2020-07-01,466,194725,12,8985
2020-07-02,503,195228,9,8994
2020-07-03,446,195674,9,9003
2020-07-04,422,196096,7,9010
2020-07-05,239,196335,2,9012
2020-07-06,219,196554,4,9016
2020-07-07,390,196944,8,9024
2020-07-08,397,197341,12,9036
2020-07-09,442,197783,12,9048
2020-07-10,395,198178,6,9054
2020-07-11,378,198556,6,9060
2020-07-12,248,198804,3,9063
2020-07-13,159,198963,1,9064
2020-07-14,412,199375,4,9068
2020-07-15,351,199726,3,9071
2020-07-16,534,200260,7,9078
2020-07-17,583,200843,4,9082
2020-07-18,529,201372,1,9083
2020-07-19,202,201574,1,9084
2020-07-20,249,201823,2,9086
2020-07-21,522,202345,4,9090
2020-07-22,454,202799,5,9095
2020-07-23,569,203368,6,9101
2020-07-24,815,204183,10,9111
2020-07-25,781,204964,7,9118
2020-07-26,305,205269,0,9118
2020-07-27,340,205609,0,9118
2020-07-28,633,206242,4,9122
2020-07-29,684,206926,6,9128
2020-07-30,902,207828,6,9134
2020-07-31,870,208698,7,9141
2020-08-01,955,209653,0,9141
2020-08-02,240,209893,0,9141
2020-08-03,509,210402,7,9148
2020-08-04,879,211281,8,9156
