Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-01-30,5,5,0,0
2020-01-31,0,5,0,0
2020-02-01,0,5,0,0
2020-02-02,1,6,0,0
2020-02-03,1,7,0,0
2020-02-04,0,7,0,0
2020-02-05,0,7,0,0
2020-02-06,0,7,0,0
2020-02-07,0,7,0,0
2020-02-08,0,7,0,0
2020-02-09,0,7,0,0
2020-02-10,0,7,0,0
2020-02-11,0,7,0,0
2020-02-12,0,7,0,0
2020-02-13,0,7,0,0
2020-02-14,0,7,0,0
2020-02-15,0,7,0,0
2020-02-16,0,7,0,0
2020-02-17,0,7,0,0
2020-02-18,0,7,0,0
2020-02-19,0,7,0,0
2020-02-20,0,7,0,0
2020-02-21,0,7,0,0
2020-02-22,0,7,0,0
2020-02-23,0,7,0,0
2020-02-24,0,7,0,0
2020-02-25,0,7,0,0
2020-02-26,0,7,0,0
2020-02-27,0,7,0,0
2020-02-28,0,7,0,0
2020-02-29,0,7,0,0
2020-03-01,0,7,0,0
2020-03-02,2,9,0,0
2020-03-03,0,9,0,0
2020-03-04,22,31,0,0
2020-03-05,2,33,0,0
2020-03-06,2,35,0,0
2020-03-07,3,38,0,0
2020-03-08,5,43,0,0
2020-03-09,5,48,0,0
2020-03-10,6,54,0,0
2020-03-11,10,64,0,0
2020-03-12,14,78,0,0
2020-03-13,7,85,1,1
2020-03-14,3,88,1,2
2020-03-15,23,111,0,2
2020-03-16,7,118,0,2
2020-03-17,23,141,1,3
2020-03-18,14,155,0,3
2020-03-19,40,195,1,4
2020-03-20,0,195,0,4
2020-03-21,88,283,0,4
2020-03-22,58,341,1,5
2020-03-23,93,434,4,9
2020-03-24,85,519,0,9
2020-03-25,87,606,1,10
2020-03-26,43,649,3,13
2020-03-27,75,724,4,17
2020-03-28,0,724,0,17
2020-03-29,255,979,8,25
2020-03-30,92,1071,4,29
2020-03-31,180,1251,3,32
2020-04-01,385,1636,6,38
2020-04-02,329,1965,12,50
2020-04-03,336,2301,6,56
2020-04-04,601,2902,12,68
2020-04-05,472,3374,9,77
2020-04-06,693,4067,32,109
2020-04-07,354,4421,5,114
2020-04-08,853,5274,35,149
2020-04-09,591,5865,20,169
2020-04-10,547,6412,30,199
2020-04-11,1035,7447,40,239
2020-04-12,909,8356,34,273
2020-04-13,796,9152,35,308
2020-04-14,1211,10363,31,339
2020-04-15,1076,11439,38,377
2020-04-16,941,12380,37,414
2020-04-17,1007,13387,23,437
2020-04-18,991,14378,43,480
2020-04-19,1334,15712,27,507
2020-04-20,1553,17265,36,543
2020-04-21,1336,18601,47,590
2020-04-22,1383,19984,50,640
2020-04-23,1409,21393,41,681
2020-04-24,1684,23077,37,718
2020-04-25,1429,24506,57,775
2020-04-26,1990,26496,49,824
2020-04-27,1396,27892,48,872
2020-04-28,1543,29435,62,934
2020-04-29,1897,31332,73,1007
2020-04-30,1718,33050,67,1074
