Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-02-19,6,6,2,2
2020-02-20,3,9,0,2
2020-02-21,13,22,2,4
2020-02-22,10,32,1,5
2020-02-23,15,47,3,8
2020-02-24,18,65,4,12
2020-02-25,34,99,3,15
2020-02-26,44,143,4,19
2020-02-27,106,249,7,26
2020-02-28,143,392,8,34
2020-02-29,205,597,9,43
2020-03-01,0,597,0,43
2020-03-02,908,1505,23,66
2020-03-03,835,2340,11,77
2020-03-04,586,2926,15,92
2020-03-05,591,3517,15,107
2020-03-06,1234,4751,17,124
2020-03-07,1076,5827,21,145
2020-03-08,743,6570,49,194
2020-03-09,595,7165,43,237
2020-03-10,881,8046,54,291
2020-03-11,958,9004,63,354
2020-03-12,1075,10079,75,429
2020-03-13,1289,11368,85,514
2020-03-14,1365,12733,94,608
2020-03-15,1254,13987,116,724
2020-03-16,1008,14995,129,853
2020-03-17,1178,16173,135,988
2020-03-18,1192,17365,147,1135
2020-03-19,1046,18411,149,1284
2020-03-20,1233,19644,149,1433
2020-03-21,966,20610,123,1556
2020-03-22,1028,21638,129,1685
2020-03-23,1411,23049,127,1812
2020-03-24,1762,24811,122,1934
2020-03-25,2206,27017,143,2077
2020-03-26,2389,29406,157,2234
2020-03-27,2926,32332,144,2378
2020-03-28,3076,35408,139,2517
2020-03-29,2901,38309,123,2640
2020-03-30,3186,41495,117,2757
2020-03-31,3111,44606,141,2898
2020-04-01,2987,47593,138,3036
2020-04-02,2875,50468,124,3160
2020-04-03,2715,53183,134,3294
2020-04-04,2560,55743,158,3452
2020-04-05,2483,58226,151,3603
2020-04-06,2274,60500,136,3739
2020-04-07,2089,62589,133,3872
2020-04-08,1997,64586,121,3993
2020-04-09,1634,66220,117,4110
2020-04-10,1972,68192,122,4232
2020-04-11,1837,70029,125,4357
2020-04-12,1657,71686,117,4474
2020-04-13,1617,73303,111,4585
2020-04-14,1574,74877,98,4683
2020-04-15,1512,76389,94,4777
2020-04-16,1606,77995,92,4869
2020-04-17,1499,79494,89,4958
2020-04-18,1374,80868,73,5031
