Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-01-31,6,6,0,0
2020-02-01,0,6,0,0
2020-02-02,0,6,0,0
2020-02-03,0,6,0,0
2020-02-04,0,6,0,0
2020-02-05,0,6,0,0
2020-02-06,0,6,0,0
2020-02-07,0,6,0,0
2020-02-08,0,6,0,0
2020-02-09,0,6,0,0
2020-02-10,0,6,0,0
2020-02-11,0,6,0,0
2020-02-12,0,6,0,0
2020-02-13,0,6,0,0
2020-02-14,0,6,0,0
2020-02-15,0,6,0,0
2020-02-16,0,6,0,0
2020-02-17,0,6,0,0
2020-02-18,0,6,0,0
2020-02-19,0,6,0,0
2020-02-20,0,6,0,0
2020-02-21,0,6,0,0
2020-02-22,0,6,0,0
2020-02-23,0,6,0,0
2020-02-24,0,6,0,0
2020-02-25,0,6,0,0
2020-02-26,0,6,0,0
2020-02-27,0,6,0,0
2020-02-28,0,6,0,0
2020-02-29,0,6,0,0
2020-03-01,0,6,0,0
2020-03-02,1,7,0,0
2020-03-03,0,7,0,0
2020-03-04,0,7,0,0
2020-03-05,1,8,0,0
2020-03-06,3,11,0,0
2020-03-07,0,11,0,0
2020-03-08,0,11,0,0
2020-03-09,0,11,0,0
2020-03-10,0,11,0,0
2020-03-11,0,11,0,0
2020-03-12,27,38,0,0
2020-03-13,0,38,0,0
2020-03-14,0,38,0,0
2020-03-15,0,38,0,0
2020-03-16,59,97,0,0
2020-03-17,0,97,0,0
2020-03-18,54,151,0,0
2020-03-19,48,199,0,0
2020-03-20,54,253,0,0
2020-03-21,53,306,0,0
2020-03-22,0,306,0,0
2020-03-23,132,438,0,0
2020-03-24,0,438,0,0
2020-03-25,220,658,0,0
2020-03-26,182,840,2,2
2020-03-27,196,1036,1,3
2020-03-28,228,1264,1,4
2020-03-29,270,1534,4,8
2020-03-30,0,1534,1,9
2020-03-31,303,1837,0,9
2020-04-01,500,2337,8,17
2020-04-02,440,2777,7,24
2020-04-03,771,3548,6,30
2020-04-04,601,4149,4,34
2020-04-05,582,4731,9,43
2020-04-06,658,5389,2,45
2020-04-07,954,6343,2,47
2020-04-08,1154,7497,11,58
2020-04-09,2634,10131,18,76
2020-04-10,1786,11917,18,94
2020-04-11,1667,13584,12,106
2020-04-12,2186,15770,24,130
2020-04-13,2558,18328,18,148
2020-04-14,2774,21102,22,170
2020-04-15,3388,24490,28,198
2020-04-16,3448,27938,34,232
2020-04-17,4070,32008,41,273
2020-04-18,4785,36793,40,313
2020-04-19,6060,42853,48,361
2020-04-20,0,42853,0,361
2020-04-21,9910,52763,95,456
2020-04-22,5236,57999,57,513
2020-04-23,4774,62773,42,555
2020-04-24,5849,68622,60,615
2020-04-25,0,68622,0,615
2020-04-26,5966,74588,66,681
2020-04-27,12559,87147,113,794
2020-04-28,6411,93558,73,867
2020-04-29,5841,99399,105,972
2020-04-30,7099,106498,101,1073
2020-05-01,7933,114431,96,1169
2020-05-02,9623,124054,53,1222
2020-05-03,10633,134687,58,1280
2020-05-04,10581,145268,76,1356
2020-05-05,10102,155370,95,1451
2020-05-06,10559,165929,86,1537
2020-05-07,11231,177160,88,1625
2020-05-08,10699,187859,98,1723
2020-05-09,10817,198676,104,1827
2020-05-10,11012,209688,88,1915
2020-05-11,11656,221344,94,2009
2020-05-12,10899,232243,107,2116
2020-05-13,10028,242271,96,2212
2020-05-14,9974,252245,93,2305
2020-05-15,10598,262843,113,2418
2020-05-16,9200,272043,119,2537
2020-05-17,9709,281752,94,2631
2020-05-18,8926,290678,91,2722
2020-05-19,9263,299941,115,2837
2020-05-20,8764,308705,135,2972
2020-05-21,8849,317554,127,3099
2020-05-22,8894,326448,150,3249
2020-05-23,9434,335882,139,3388
2020-05-24,8599,344481,153,3541
2020-05-25,8946,353427,92,3633
2020-05-26,8915,362342,174,3807
2020-05-27,8338,370680,161,3968
2020-05-28,8371,379051,174,4142
2020-05-29,8572,387623,232,4374
2020-05-30,8952,396575,181,4555
2020-05-31,9268,405843,138,4693
2020-06-01,9035,414878,162,4855
2020-06-02,8863,423741,182,5037
2020-06-03,8536,432277,178,5215
2020-06-04,8831,441108,169,5384
2020-06-05,8726,449834,144,5528
2020-06-06,8855,458689,197,5725
2020-06-07,8984,467673,134,5859
2020-06-08,8985,476658,112,5971
2020-06-09,8595,485253,171,6142
2020-06-10,8404,493657,216,6358
2020-06-11,8779,502436,174,6532
2020-06-12,8987,511423,183,6715
2020-06-13,8706,520129,114,6829
2020-06-14,8835,528964,119,6948
2020-06-15,8246,537210,143,7091
2020-06-16,8248,545458,193,7284
2020-06-17,7843,553301,194,7478
2020-06-18,7790,561091,182,7660
2020-06-19,7972,569063,181,7841
2020-06-20,7889,576952,161,8002
2020-06-21,7728,584680,109,8111
2020-06-22,7600,592280,95,8206
2020-06-23,7425,599705,153,8359
2020-06-24,7176,606881,154,8513
2020-06-25,7113,613994,92,8605
2020-06-26,6800,620794,176,8781
2020-06-27,6852,627646,188,8969
2020-06-28,6791,634437,104,9073
2020-06-29,6719,641156,93,9166
2020-06-30,6693,647849,154,9320
2020-07-01,6556,654405,216,9536
2020-07-02,6760,661165,147,9683
2020-07-03,6718,667883,176,9859
2020-07-04,6632,674515,168,10027
2020-07-05,6736,681251,134,10161
2020-07-06,6611,687862,135,10296
2020-07-07,6368,694230,198,10494
2020-07-08,6562,700792,173,10667
2020-07-09,6509,707301,176,10843
2020-07-10,6635,713936,174,11017
2020-07-11,6611,720547,188,11205
2020-07-12,6615,727162,130,11335
2020-07-13,6537,733699,104,11439
2020-07-14,6248,739947,175,11614
2020-07-15,6422,746369,156,11770
2020-07-16,6428,752797,167,11937
2020-07-17,6406,759203,186,12123
2020-07-18,6234,765437,124,12247
2020-07-19,6109,771546,95,12342
2020-07-20,5940,777486,85,12427
2020-07-21,5842,783328,153,12580
2020-07-22,5862,789190,165,12745
2020-07-23,5848,795038,147,12892
2020-07-24,5811,800849,154,13046
2020-07-25,5871,806720,146,13192
2020-07-26,5765,812485,77,13269
2020-07-27,5635,818120,85,13354
2020-07-28,5395,823515,150,13504
2020-07-29,5475,828990,169,13673
2020-07-30,5509,834499,129,13802
2020-07-31,5482,839981,161,13963
2020-08-01,5462,845443,95,14058
2020-08-02,5427,850870,70,14128
2020-08-03,5394,856264,79,14207
2020-08-04,5159,861423,144,14351
