Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-03-05,5,5,0,0
2020-03-06,0,5,0,0
2020-03-07,1,6,0,0
2020-03-08,1,7,0,0
2020-03-09,0,7,0,0
2020-03-10,4,11,0,0
2020-03-11,0,11,0,0
2020-03-12,10,21,0,0
2020-03-13,0,21,0,0
2020-03-14,21,42,0,0
2020-03-15,0,42,0,0
2020-03-16,13,55,0,0
2020-03-17,11,66,0,0
2020-03-18,54,120,0,0
2020-03-19,34,154,0,0
2020-03-20,51,205,0,0
2020-03-21,35,240,0,0
2020-03-22,0,240,0,0
2020-03-23,34,274,0,0
2020-03-24,128,402,0,0
2020-03-25,152,554,0,0
2020-03-26,373,927,0,0
2020-03-27,0,927,0,0
2020-03-28,243,1170,1,1
2020-03-29,17,1187,0,1
2020-03-30,93,1280,0,1
2020-03-31,46,1326,2,3
2020-04-01,27,1353,2,5
2020-04-02,27,1380,0,5
2020-04-03,82,1462,0,5
2020-04-04,43,1505,2,7
2020-04-05,80,1585,2,9
2020-04-06,70,1655,2,11
2020-04-07,31,1686,1,12
2020-04-08,63,1749,1,13
2020-04-09,96,1845,5,18
2020-04-10,89,1934,0,18
2020-04-11,69,2003,6,24
2020-04-12,25,2028,1,25
2020-04-13,145,2173,0,25
2020-04-14,99,2272,2,27
2020-04-15,143,2415,0,27
2020-04-16,91,2506,7,34
2020-04-17,99,2605,14,48
2020-04-18,178,2783,2,50
2020-04-19,251,3034,2,52
2020-04-20,124,3158,2,54
2020-04-21,142,3300,4,58
2020-04-22,165,3465,0,58
2020-04-23,170,3635,7,65
2020-04-24,318,3953,10,75
2020-04-25,267,4220,4,79
2020-04-26,141,4361,7,86
2020-04-27,185,4546,1,87
2020-04-28,247,4793,3,90
2020-04-29,203,4996,3,93
2020-04-30,354,5350,10,103
2020-05-01,297,5647,0,103
2020-05-02,304,5951,13,116
2020-05-03,385,6336,7,123
2020-05-04,447,6783,8,131
2020-05-05,437,7220,7,138
2020-05-06,219,7439,10,148
2020-05-07,369,7808,5,153
2020-05-08,424,8232,8,161
2020-05-09,663,8895,17,178
2020-05-10,525,9420,8,186
2020-05-11,595,10015,8,194
2020-05-12,637,10652,12,206
2020-05-13,698,11350,0,206
2020-05-14,724,12074,13,219
2020-05-15,665,12739,19,238
2020-05-16,785,13524,9,247
2020-05-17,831,14355,14,261
2020-05-18,1160,15515,3,264
2020-05-19,918,16433,22,286
2020-05-20,767,17200,26,312
2020-05-21,803,18003,27,339
2020-05-22,1134,19137,30,369
2020-05-23,988,20125,28,397
2020-05-24,1218,21343,10,407
2020-05-25,1240,22583,22,429
2020-05-26,1032,23615,52,481
2020-05-27,649,24264,43,524
2020-05-28,1673,25937,28,552
2020-05-29,1466,27403,25,577
2020-05-30,1837,29240,34,611
2020-05-31,1727,30967,32,643
2020-06-01,1716,32683,40,683
2020-06-02,1674,34357,22,705
2020-06-03,1455,35812,50,755
2020-06-04,1713,37525,37,792
2020-06-05,3267,40792,56,848
2020-06-06,2642,43434,60,908
2020-06-07,2539,45973,44,952
2020-06-08,2312,48285,46,998
2020-06-09,2594,50879,82,1080
2020-06-10,2112,52991,82,1162
2020-06-11,2430,55421,48,1210
2020-06-12,3147,58568,74,1284
2020-06-13,3359,61927,70,1354
2020-06-14,3809,65736,69,1423
2020-06-15,4302,70038,57,1480
2020-06-16,3495,73533,88,1568
2020-06-17,2801,76334,57,1625
2020-06-18,4078,80412,49,1674
2020-06-19,3478,83890,63,1737
2020-06-20,3825,87715,94,1831
2020-06-21,4966,92681,46,1877
2020-06-22,4621,97302,53,1930
2020-06-23,4288,101590,61,1991
2020-06-24,4518,106108,111,2102
2020-06-25,5688,111796,103,2205
2020-06-26,6579,118375,87,2292
2020-06-27,6215,124590,48,2340
2020-06-28,7210,131800,73,2413
2020-06-29,6334,138134,43,2456
2020-06-30,6130,144264,73,2529
2020-07-01,6945,151209,128,2657
2020-07-02,8124,159333,92,2749
2020-07-03,8728,168061,95,2844
2020-07-04,9063,177124,108,2952
2020-07-05,10853,187977,74,3026
2020-07-06,8773,196750,173,3199
2020-07-07,8971,205721,111,3310
2020-07-08,10134,215855,192,3502
2020-07-09,8810,224665,100,3602
2020-07-10,13674,238339,118,3720
2020-07-11,12348,250687,140,3860
2020-07-12,13497,264184,111,3971
2020-07-13,12058,276242,108,4079
2020-07-14,11554,287796,93,4172
2020-07-15,10496,298292,174,4346
2020-07-16,12757,311049,107,4453
2020-07-17,13172,324221,216,4669
2020-07-18,13373,337594,135,4804
2020-07-19,13285,350879,144,4948
2020-07-20,13449,364328,85,5033
2020-07-21,9300,373628,140,5173
2020-07-22,8170,381798,195,5368
2020-07-23,13150,394948,572,5940
2020-07-24,13104,408052,153,6093
2020-07-25,13944,421996,250,6343
2020-07-26,12204,434200,312,6655
2020-07-27,11233,445433,114,6769
2020-07-28,7097,452530,298,7067
2020-07-29,7231,459761,190,7257
2020-07-30,11362,471123,240,7497
2020-07-31,11046,482169,315,7812
2020-08-01,11014,493183,193,8005
2020-08-02,10107,503290,148,8153
2020-08-03,8195,511485,213,8366
2020-08-04,5377,516862,0,8366
