Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-02-02,5,5,0,0
2020-02-03,0,5,0,0
2020-02-04,0,5,0,0
2020-02-05,0,5,0,0
2020-02-06,0,5,0,0
2020-02-07,0,5,0,0
2020-02-08,0,5,0,0
2020-02-09,0,5,0,0
2020-02-10,1,6,0,0
2020-02-11,0,6,0,0
2020-02-12,0,6,0,0
2020-02-13,0,6,1,1
2020-02-14,0,6,0,1
2020-02-15,0,6,0,1
2020-02-16,0,6,0,1
2020-02-17,0,6,0,1
2020-02-18,0,6,0,1
2020-02-19,0,6,0,1
2020-02-20,0,6,0,1
2020-02-21,0,6,0,1
2020-02-22,0,6,0,1
2020-02-23,0,6,0,1
2020-02-24,0,6,0,1
2020-02-25,0,6,0,1
2020-02-26,1,7,0,1
2020-02-27,9,16,0,1
2020-02-28,13,29,0,1
2020-02-29,7,36,0,1
2020-03-01,13,49,0,1
2020-03-02,21,70,0,1
2020-03-03,48,118,1,2
2020-03-04,37,155,2,4
2020-03-05,49,204,1,5
2020-03-06,61,265,3,8
2020-03-07,113,378,3,11
2020-03-08,0,378,14,25
2020-03-09,0,378,16,41
2020-03-10,650,1028,26,67
2020-03-11,598,1626,35,102
2020-03-12,518,2144,55,157
2020-03-13,825,2969,78,235
2020-03-14,1266,4235,104,339
2020-03-15,1522,5757,129,468
2020-03-16,2000,7757,176,644
2020-03-17,1438,9195,186,830
2020-03-18,1987,11182,234,1064
2020-03-19,2534,13716,307,1371
2020-03-20,3431,17147,418,1789
2020-03-21,2833,19980,494,2283
2020-03-22,4946,24926,535,2818
2020-03-23,3646,28572,659,3477
2020-03-24,4517,33089,707,4184
2020-03-25,6584,39673,782,4966
2020-03-26,7937,47610,843,5809
2020-03-27,8578,56188,877,6686
2020-03-28,7871,64059,814,7500
2020-03-29,8189,72248,788,8288
2020-03-30,6549,78797,888,9176
2020-03-31,6398,85195,870,10046
2020-04-01,9222,94417,868,10914
2020-04-02,7719,102136,814,11728
2020-04-03,8102,110238,759,12487
2020-04-04,7472,117710,708,13195
2020-04-05,7026,124736,724,13919
2020-04-06,6023,130759,733,14652
2020-04-07,4273,135032,713,15365
2020-04-08,5478,140510,713,16078
2020-04-09,6180,146690,642,16720
2020-04-10,5756,152446,643,17363
2020-04-11,4576,157022,593,17956
2020-04-12,4830,161852,521,18477
2020-04-13,4167,166019,563,19040
2020-04-14,3477,169496,575,19615
2020-04-15,6538,176034,526,20141
2020-04-16,4040,180074,463,20604
2020-04-17,4400,184474,476,21080
2020-04-18,4104,188578,410,21490
2020-04-19,2213,190791,375,21865
2020-04-20,2585,193376,359,22224
2020-04-21,3352,196728,396,22620
2020-04-22,2627,199355,318,22938
2020-04-23,3052,202407,300,23238
2020-04-24,2767,205174,313,23551
2020-04-25,2944,208118,280,23831
2020-04-26,1346,209464,465,24296
2020-04-27,1729,211193,250,24546
2020-04-28,1831,213024,247,24793
2020-04-29,1308,214332,224,25017
2020-04-30,2144,216476,206,25223
2020-05-01,518,216994,170,25393
2020-05-02,1781,218775,191,25584
2020-05-03,1366,220141,185,25769
2020-05-04,884,221025,177,25946
2020-05-05,545,221570,175,26121
2020-05-06,1318,222888,147,26268
2020-05-07,996,223884,158,26426
2020-05-08,1122,225006,140,26566
2020-05-09,1410,226416,121,26687
2020-05-10,721,227137,106,26793
2020-05-11,821,227958,2,26795
2020-05-12,824,228782,2,26797
2020-05-13,461,229243,118,26915
2020-05-14,609,229852,108,27023
2020-05-15,710,230562,88,27111
2020-05-16,725,231287,83,27194
2020-05-17,696,231983,70,27264
2020-05-18,320,232303,58,27322
2020-05-19,226,232529,53,27375
2020-05-20,576,233105,65,27440
2020-05-21,764,233869,60,27500
2020-05-22,666,234535,54,27554
