Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-02-01,2,2,0,0
2020-02-02,0,2,0,0
2020-02-03,0,2,0,0
2020-02-04,0,2,0,0
2020-02-05,1,3,0,0
2020-02-06,0,3,0,0
2020-02-07,1,4,0,0
2020-02-08,0,4,0,0
2020-02-09,0,4,0,0
2020-02-10,4,8,0,0
2020-02-11,1,9,0,0
2020-02-12,0,9,0,0
2020-02-13,1,10,0,0
2020-02-14,0,10,0,0
2020-02-15,0,10,0,0
2020-02-16,0,10,0,0
2020-02-17,0,10,0,0
2020-02-18,0,10,0,0
2020-02-19,0,10,0,0
2020-02-20,0,10,0,0
2020-02-21,0,10,0,0
2020-02-22,0,10,0,0
2020-02-23,1,11,0,0
2020-02-24,0,11,0,0
2020-02-25,0,11,0,0
2020-02-26,2,13,0,0
2020-02-27,5,18,0,0
2020-02-28,4,22,0,0
2020-02-29,8,30,0,0
2020-03-01,12,42,0,0
2020-03-02,5,47,0,0
2020-03-03,22,69,0,0
2020-03-04,40,109,0,0
2020-03-05,55,164,0,0
2020-03-06,56,220,0,0
2020-03-07,51,271,1,1
2020-03-08,81,352,1,2
2020-03-09,60,412,0,2
2020-03-10,57,469,1,3
2020-03-11,148,617,4,7
2020-03-12,259,876,0,7
2020-03-13,406,1282,2,9
2020-03-14,484,1766,1,10
2020-03-15,478,2244,18,28
2020-03-16,361,2605,15,43
2020-03-17,442,3047,22,65
2020-03-18,611,3658,16,81
2020-03-19,769,4427,34,115
2020-03-20,999,5426,43,158
2020-03-21,1055,6481,36,194
2020-03-22,1255,7736,56,250
2020-03-23,1198,8934,35,285
2020-03-24,1378,10312,74,359
2020-03-25,2338,12650,149,508
2020-03-26,2375,15025,187,695
2020-03-27,2692,17717,183,878
2020-03-28,3087,20804,284,1162
2020-03-29,3197,24001,294,1456
2020-03-30,2822,26823,214,1670
2020-03-31,2858,29681,374,2044
2020-04-01,4273,33954,382,2426
2020-04-02,4514,38468,670,3096
2020-04-03,4913,43381,652,3748
2020-04-04,4868,48249,714,4462
2020-04-05,4911,53160,760,5222
2020-04-06,4020,57180,644,5866
2020-04-07,3592,60772,568,6434
2020-04-08,5282,66054,1038,7472
2020-04-09,5450,71504,1034,8506
2020-04-10,5131,76635,1110,9616
2020-04-11,4858,81493,1152,10768
2020-04-12,4313,85806,840,11608
2020-04-13,3579,89385,686,12294
2020-04-14,3489,92874,744,13038
2020-04-15,4178,97052,1047,14085
2020-04-16,4326,101378,842,14927
2020-04-17,5065,106443,1029,15956
2020-04-18,5292,111735,936,16892
2020-04-19,4956,116691,1115,18007
2020-04-20,4721,121412,498,18505
2020-04-21,3853,125265,559,19064
2020-04-22,4854,130119,1173,20237
2020-04-23,4760,134879,837,21074
2020-04-24,5487,140366,727,21801
2020-04-25,5158,145524,1006,22807
2020-04-26,4970,150494,843,23650
2020-04-27,3748,154242,420,24070
2020-04-28,3473,157715,338,24408
2020-04-29,4706,162421,911,25319
2020-04-30,4729,167150,795,26114
2020-05-01,5446,172596,674,26788
2020-05-02,4966,177562,740,27528
2020-05-03,4737,182299,621,28149
2020-05-04,3229,185528,315,28464
2020-05-05,2982,188510,288,28752
2020-05-06,3389,191899,694,29446
2020-05-07,3682,195581,652,30098
2020-05-08,3827,199408,540,30638
2020-05-09,3767,203175,627,31265
2020-05-10,3063,206238,346,31611
2020-05-11,2157,208395,268,31879
2020-05-12,2329,210724,211,32090
2020-05-13,3586,214310,630,32720
2020-05-14,3402,217712,496,33216
2020-05-15,3307,221019,428,33644
2020-05-16,2628,223647,384,34028
2020-05-17,2526,226173,480,34508
2020-05-18,2079,228252,170,34678
2020-05-19,1838,230090,160,34838
2020-05-20,2589,232679,548,35386
2020-05-21,3052,235731,369,35755
2020-05-22,2718,238449,338,36093
2020-05-23,2574,241023,358,36451
2020-05-24,2062,243085,283,36734
2020-05-25,1527,244612,441,37175
2020-05-26,1364,245976,122,37297
2020-05-27,1624,247600,136,37433
2020-05-28,1672,249272,443,37876
2020-05-29,1835,251107,416,38292
2020-05-30,1760,252867,373,38665
2020-05-31,1527,254394,230,38895
2020-06-01,1125,255519,115,39010
2020-06-02,1079,256598,111,39121
2020-06-03,1441,258039,326,39447
2020-06-04,1484,259523,365,39812
2020-06-05,1356,260879,177,39989
2020-06-06,1243,262122,358,40347
2020-06-07,1120,263242,207,40554
2020-06-08,801,264043,77,40631
2020-06-09,721,264764,55,40686
2020-06-10,1099,265863,289,40975
2020-06-11,1158,267021,250,41225
2020-06-12,1199,268220,152,41377
2020-06-13,1017,269237,204,41581
2020-06-14,1052,270289,183,41764
2020-06-15,890,271179,36,41800
2020-06-16,822,272001,38,41838
2020-06-17,1043,273044,236,42074
2020-06-18,1102,274146,184,42258
2020-06-19,1013,275159,137,42395
2020-06-20,1027,276186,173,42568
2020-06-21,986,277172,130,42698
2020-06-22,687,277859,43,42741
2020-06-23,639,278498,15,42756
2020-06-24,896,279394,171,42927
2020-06-25,886,280280,154,43081
2020-06-26,778,281058,149,43230
2020-06-27,721,281779,184,43414
2020-06-28,671,282450,100,43514
2020-06-29,649,283099,36,43550
2020-06-30,446,283545,25,43575
2020-07-01,730,284275,155,43730
2020-07-02,617,284892,176,43906
2020-07-03,651,285543,89,43995
2020-07-04,602,286145,136,44131
2020-07-05,579,286724,67,44198
2020-07-06,401,287125,22,44220
2020-07-07,555,287680,16,44236
2020-07-08,704,288384,155,44391
2020-07-09,597,288981,126,44517
2020-07-10,693,289674,85,44602
2020-07-11,715,290389,48,44650
2020-07-12,565,290954,148,44798
2020-07-13,442,291396,21,44819
2020-07-14,361,291757,11,44830
2020-07-15,726,292483,138,44968
2020-07-16,685,293168,85,45053
2020-07-17,772,293940,66,45119
2020-07-18,704,294644,114,45233
2020-07-19,569,295213,40,45273
2020-07-20,493,295706,27,45300
2020-07-21,413,296119,12,45312
2020-07-22,793,296912,110,45422
2020-07-23,751,297663,79,45501
2020-07-24,773,298436,53,45554
2020-07-25,731,299167,123,45677
2020-07-26,667,299834,61,45738
2020-07-27,421,300255,14,45752
2020-07-28,371,300626,7,45759
2020-07-29,70,300696,119,45878
2020-07-30,763,301459,83,45961
2020-07-31,846,302305,38,45999
2020-08-01,880,303185,120,46119
2020-08-02,771,303956,74,46193
2020-08-03,743,304699,8,46201
2020-08-04,928,305627,9,46210
