Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-01-20,5,5,0,0
2020-01-21,0,5,0,0
2020-01-22,0,5,0,0
2020-01-23,0,5,0,0
2020-01-24,1,6,0,0
2020-01-25,0,6,0,0
2020-01-26,3,9,0,0
2020-01-27,0,9,0,0
2020-01-28,0,9,0,0
2020-01-29,0,9,0,0
2020-01-30,1,10,0,0
2020-01-31,1,11,0,0
2020-02-01,1,12,0,0
2020-02-02,0,12,0,0
2020-02-03,3,15,0,0
2020-02-04,0,15,0,0
2020-02-05,0,15,0,0
2020-02-06,1,16,0,0
2020-02-07,0,16,0,0
2020-02-08,0,16,0,0
2020-02-09,0,16,0,0
2020-02-10,0,16,0,0
2020-02-11,1,17,0,0
2020-02-12,0,17,0,0
2020-02-13,2,19,0,0
2020-02-14,0,19,0,0
2020-02-15,0,19,0,0
2020-02-16,0,19,0,0
2020-02-17,0,19,0,0
2020-02-18,0,19,0,0
2020-02-19,0,19,0,0
2020-02-20,0,19,0,0
2020-02-21,19,38,0,0
2020-02-22,1,39,0,0
2020-02-23,0,39,0,0
2020-02-24,18,57,0,0
2020-02-25,0,57,0,0
2020-02-26,6,63,0,0
2020-02-27,0,63,0,0
2020-02-28,3,66,0,0
2020-02-29,0,66,0,0
2020-03-01,0,66,0,0
2020-03-02,2,68,0,0
2020-03-03,44,112,2,2
2020-03-04,21,133,3,5
2020-03-05,19,152,5,10
2020-03-06,65,217,1,11
2020-03-07,0,217,0,11
2020-03-08,0,217,0,11
2020-03-09,259,476,8,19
2020-03-10,224,700,6,25
2020-03-11,0,700,0,25
2020-03-12,291,991,4,29
2020-03-13,277,1268,7,36
2020-03-14,414,1682,5,41
2020-03-15,36,1718,0,41
2020-03-16,0,1718,0,41
2020-03-17,1822,3540,17,58
2020-03-18,3551,7091,42,100
2020-03-19,3351,10442,50,150
2020-03-20,4777,15219,51,201
2020-03-21,0,15219,0,201
2020-03-22,0,15219,0,201
2020-03-23,16354,31573,201,402
2020-03-24,20341,51914,271,673
2020-03-25,0,51914,0,673
2020-03-26,16420,68334,318,991
2020-03-27,0,68334,0,991
2020-03-28,16894,85228,252,1243
2020-03-29,18093,103321,425,1668
2020-03-30,19332,122653,444,2112
2020-03-31,17987,140640,286,2398
2020-04-01,22559,163199,452,2850
2020-04-02,24103,187302,996,3846
2020-04-03,26298,213600,947,4793
2020-04-04,28103,241703,1061,5854
2020-04-05,32105,273808,1166,7020
2020-04-06,33510,307318,1338,8358
2020-04-07,26493,333811,1201,9559
2020-04-08,29510,363321,1286,10845
2020-04-09,31709,395030,1895,12740
2020-04-10,30859,425889,1925,14665
2020-04-11,35386,461275,1931,16596
2020-04-12,31606,492881,1920,18516
2020-04-13,31633,524514,1928,20444
2020-04-14,29308,553822,1528,21972
2020-04-15,24446,578268,1504,23476
2020-04-16,25802,604070,2395,25871
2020-04-17,28711,632781,6409,32280
2020-04-18,32549,665330,2018,34298
2020-04-19,30023,695353,2438,36736
2020-04-20,28252,723605,1776,38512
2020-04-21,27668,751273,1801,40313
2020-04-22,25634,776907,2154,42467
2020-04-23,24019,800926,2575,45042
2020-04-24,29127,830053,2390,47432
2020-04-25,30719,860772,1742,49174
2020-04-26,38509,899281,2151,51325
2020-04-27,32417,931698,1964,53289
2020-04-28,29218,960916,1109,54398
2020-04-29,22541,983457,1322,55720
2020-04-30,20517,1003974,2010,57730
2020-05-01,31379,1035353,2902,60632
2020-05-02,31774,1067127,2005,62637
2020-05-03,26753,1093880,5000,67637
2020-05-04,31839,1125719,156,67793
2020-05-05,29266,1154985,-514,67279
2020-05-06,16200,1171185,802,68081
2020-05-07,22267,1193452,2475,70556
2020-05-08,22119,1215571,1968,72524
2020-05-09,30204,1245775,2840,75364
2020-05-10,25870,1271645,1552,76916
2020-05-11,26642,1298287,1736,78652
2020-05-12,23767,1322054,982,79634
2020-05-13,18044,1340098,1061,80695
2020-05-14,21424,1361522,1424,82119
2020-05-15,20840,1382362,1700,83819
2020-05-16,27090,1409452,2041,85860
2020-05-17,22813,1432265,1320,87180
2020-05-18,31967,1464232,1394,88574
