Date,New Cases,Total Cases,New Deaths,Total Deaths
2020-01-04,1,1,0,0
2020-01-05,0,1,0,0
2020-01-06,3,4,0,0
2020-01-07,0,4,0,0
2020-01-08,0,4,0,0
2020-01-09,0,4,0,0
2020-01-10,0,4,0,0
2020-01-11,41,45,1,1
2020-01-12,0,45,0,1
2020-01-13,5,50,0,1
2020-01-14,5,55,0,1
2020-01-15,0,55,0,1
2020-01-16,0,55,0,1
2020-01-17,5,60,1,2
2020-01-18,17,77,0,2
2020-01-19,64,141,1,3
2020-01-20,82,223,1,4
2020-01-21,93,316,2,6
2020-01-22,154,470,3,9
2020-01-23,141,611,8,17
2020-01-24,279,890,8,25
2020-01-25,477,1367,16,41
2020-01-26,702,2069,15,56
2020-01-27,793,2862,24,80
2020-01-28,1786,4648,26,106
2020-01-29,1496,6144,26,132
2020-01-30,1768,7912,38,170
2020-01-31,2014,9926,43,213
2020-02-01,2118,12044,46,259
2020-02-02,2601,14645,46,305
2020-02-03,2833,17478,57,362
2020-02-04,3258,20736,64,426
2020-02-05,3919,24655,66,492
2020-02-06,3720,28375,73,565
2020-02-07,3202,31577,73,638
2020-02-08,3414,34991,86,724
2020-02-09,2668,37659,89,813
2020-02-10,3059,40718,97,910
2020-02-11,2481,43199,108,1018
2020-02-12,2067,45266,97,1115
2020-02-13,15213,60479,256,1371
2020-02-14,4072,64551,13,1384
2020-02-15,2732,67283,144,1528
2020-02-16,2090,69373,142,1670
2020-02-17,2161,71534,106,1776
2020-02-18,1993,73527,98,1874
2020-02-19,1860,75387,138,2012
2020-02-20,486,75873,118,2130
2020-02-21,1052,76925,120,2250
2020-02-22,1109,78034,113,2363
2020-02-23,1017,79051,101,2464
2020-02-24,644,79695,164,2628
2020-02-25,825,80520,83,2711
2020-02-26,949,81469,61,2772
2020-02-27,1378,82847,43,2815
2020-02-28,1466,84313,59,2874
2020-02-29,1859,86172,68,2942
2020-03-01,1896,88068,45,2987
2020-03-02,2303,90371,87,3074
2020-03-03,2352,92723,80,3154
2020-03-04,2204,94927,91,3245
2020-03-05,2676,97603,101,3346
2020-03-06,3753,101356,112,3458
2020-03-07,4076,105432,96,3554
2020-03-08,3839,109271,244,3798
2020-03-09,3951,113222,205,4003
2020-03-10,4470,117692,283,4286
2020-03-11,6517,124209,355,4641
2020-03-12,6850,131059,361,5002
2020-03-13,10012,141071,484,5486
2020-03-14,11076,152147,426,5912
2020-03-15,11428,163575,726,6638
2020-03-16,11828,175403,746,7384
2020-03-17,14507,189910,803,8187
2020-03-18,19167,209077,1083,9270
2020-03-19,21886,230963,1202,10472
2020-03-20,31328,262291,1545,12017
2020-03-21,24508,286799,1734,13751
2020-03-22,14281,301080,869,14620
2020-03-23,38211,339291,2014,16634
2020-03-24,56304,395595,2283,18917
2020-03-25,31467,427062,2370,21287
2020-03-26,56612,483674,2860,24147
2020-03-27,42200,525874,2676,26823
2020-03-28,62963,588837,3375,30198
2020-03-29,62369,651206,3437,33635
2020-03-30,58101,709307,3370,37005
2020-03-31,58353,767660,3655,40660
2020-04-01,75006,842666,4185,44845
2020-04-02,73445,916111,4966,49811
2020-04-03,75865,991976,4866,54677
2020-04-04,80423,1072399,6601,61278
2020-04-05,80988,1153387,5840,67118
2020-04-06,75114,1228501,4965,72083
2020-04-07,69120,1297621,5354,77437
2020-04-08,75816,1373437,6865,84302
2020-04-09,83234,1456671,6398,90700
2020-04-10,85850,1542521,7404,98104
2020-04-11,90739,1633260,6924,105028
2020-04-12,79639,1712899,6155,111183
2020-04-13,74313,1787212,5682,116865
2020-04-14,70523,1857735,5459,122324
2020-04-15,73236,1930971,6181,128505
2020-04-16,75463,2006434,7887,136392
2020-04-17,82717,2089151,12452,148844
2020-04-18,84095,2173246,6572,155416
2020-04-19,79796,2253042,6826,162242
2020-04-20,68271,2321313,5106,167348
2020-04-21,81843,2403156,5423,172771
2020-04-22,73056,2476212,6735,179506
2020-04-23,72892,2549104,6646,186152
2020-04-24,81160,2630264,6324,192476
2020-04-25,88382,2718646,5841,198317
2020-04-26,85980,2804626,6351,204668
2020-04-27,85919,2890545,4839,209507
2020-04-28,73156,2963701,4047,213554
2020-04-29,67002,3030703,5269,218823
2020-04-30,73597,3104300,5901,224724
2020-05-01,85922,3190222,6481,231205
2020-05-02,87396,3277618,5446,236651
2020-05-03,83670,3361288,8522,245173
2020-05-04,84572,3445860,2886,248059
2020-05-05,82203,3528063,2123,250182
2020-05-06,69899,3597962,4075,254257
2020-05-07,81614,3679576,6179,260436
2020-05-08,86348,3765924,5338,265774
2020-05-09,93791,3859715,6360,272134
2020-05-10,87951,3947666,4499,276633
2020-05-11,86544,4034210,4543,281176
2020-05-12,77750,4111960,3412,284588
2020-05-13,75870,4187830,4253,288841
2020-05-14,82798,4270628,4934,293775
2020-05-15,88395,4359023,5150,298925
2020-05-16,92080,4451103,5196,304121
2020-05-17,94825,4545928,4604,308725
2020-05-18,101334,4647262,4507,313232
2020-05-19,73858,4721120,2890,316122
2020-05-20,90449,4811569,3569,319691
2020-05-21,106097,4917666,4805,324496
2020-05-22,91153,5008819,4468,328964
2020-05-23,105753,5114572,4711,333675
2020-05-24,103608,5218180,5065,338740
2020-05-25,101389,5319569,3827,342567
2020-05-26,88533,5408102,3031,345598
2020-05-27,91913,5500015,3467,349065
2020-05-28,96290,5596305,4428,353493
2020-05-29,110780,5707085,5073,358566
2020-05-30,116413,5823498,4935,363501
2020-05-31,115949,5939447,4342,367843
2020-06-01,123234,6062681,3794,371637
2020-06-02,112729,6175410,3025,374662
2020-06-03,93190,6268600,3644,378306
2020-06-04,129326,6397926,4905,383211
2020-06-05,118119,6516045,5086,388297
2020-06-06,127724,6643769,5675,393972
2020-06-07,136150,6779919,4599,398571
2020-06-08,130691,6910610,3487,402058
2020-06-09,108425,7019035,3546,405604
2020-06-10,105111,7124146,3651,409255
2020-06-11,128746,7252892,5350,414605
2020-06-12,136354,7389246,4951,419556
2020-06-13,141987,7531233,5072,424628
2020-06-14,137144,7668377,4293,428921
2020-06-15,131640,7800017,3928,432849
2020-06-16,118517,7918534,3273,436122
2020-06-17,119682,8038216,5504,441626
2020-06-18,181229,8219445,5246,446872
2020-06-19,142791,8362236,5172,452044
2020-06-20,138456,8500692,5083,457127
2020-06-21,183291,8683983,4743,461870
2020-06-22,152613,8836596,4036,465906
2020-06-23,134188,8970784,3886,469792
2020-06-24,136100,9106884,4065,473857
2020-06-25,168383,9275267,5332,479189
2020-06-26,177571,9452838,5117,484306
2020-06-27,180964,9633802,6892,491198
2020-06-28,190166,9823968,4624,495822
2020-06-29,178584,10002552,4156,499978
2020-06-30,163550,10166102,3938,503916
